,true_labels,predicted_labels
370,1,1
560,1,1
1007,3,3
589,1,1
983,3,0
277,0,0
306,0,0
51,0,0
811,2,0
1384,6,0
857,3,0
1213,5,5
839,3,3
44,0,0
497,1,1
579,1,1
1182,5,0
203,0,0
377,1,1
710,2,2
374,1,1
599,1,1
1141,4,0
220,0,0
1416,6,0
70,0,0
1244,5,0
885,3,3
901,3,1
844,3,3
554,1,1
78,0,0
1161,5,0
838,3,3
1226,5,0
423,1,1
275,0,0
259,0,0
745,2,0
163,0,0
654,2,1
1246,5,0
759,2,0
382,1,1
1061,3,0
1032,3,3
670,2,0
1034,3,0
1121,4,1
799,2,0
430,1,1
29,0,0
1367,6,0
998,3,3
1018,3,3
67,0,0
49,0,0
342,0,0
973,3,3
297,0,0
591,1,1
622,1,1
1094,4,3
76,0,0
192,0,0
575,1,1
1308,5,0
371,1,0
101,0,0
1023,3,0
411,1,1
1209,5,0
943,3,3
1134,4,3
168,0,0
1149,5,0
889,3,3
1066,3,3
583,1,1
700,2,2
1423,6,0
755,2,0
829,3,3
1388,6,3
1372,6,0
714,2,0
1414,6,0
892,3,3
912,3,3
218,0,0
1322,6,0
231,0,0
233,0,0
115,0,0
1030,3,0
346,0,0
908,3,3
1191,5,0
1096,4,0
1262,5,0
123,0,0
1307,5,0
1155,5,0
43,0,0
1355,6,3
597,1,1
610,1,1
1117,4,0
819,2,0
1165,5,0
361,1,1
1391,6,0
1250,5,0
715,2,1
1177,5,0
875,3,0
965,3,1
240,0,0
353,1,1
1041,3,0
65,0,0
244,0,0
968,3,0
903,3,0
733,2,0
506,1,1
1225,5,0
462,1,3
967,3,3
316,0,0
32,0,0
1229,5,0
380,1,1
367,1,1
237,0,0
198,0,0
669,2,0
435,1,1
1137,4,0
239,0,0
817,2,0
1100,4,0
184,0,0
534,1,0
1276,5,0
1111,4,0
770,2,1
617,1,1
274,0,0
358,1,1
63,0,0
271,0,0
514,1,1
1027,3,3
948,3,3
1378,6,0
782,2,0
650,2,0
1282,5,0
30,0,0
56,0,0
1156,5,5
846,3,0
930,3,0
1054,3,0
584,1,1
704,2,0
774,2,0
561,1,3
602,1,0
479,1,1
1205,5,0
1193,5,0
764,2,1
99,0,0
428,1,1
873,3,0
836,3,0
573,1,1
845,3,3
322,0,0
208,0,0
677,2,0
1092,4,0
453,1,1
678,2,1
1286,5,0
1406,6,0
680,2,0
1090,4,0
950,3,3
1178,5,0
451,1,1
1176,5,0
939,3,3
614,1,1
58,0,0
247,0,0
289,0,0
665,2,0
23,0,0
107,0,0
413,1,1
1319,6,3
1218,5,0
852,3,3
332,0,0
1278,5,0
944,3,3
1217,5,0
1103,4,0
1383,6,0
1295,5,0
643,2,0
1010,3,3
636,2,0
982,3,0
196,0,0
867,3,3
128,0,0
1203,5,5
81,0,0
1343,6,3
478,1,3
1105,4,0
394,1,0
705,2,0
111,0,0
1220,5,0
712,2,0
988,3,3
310,0,0
1114,4,1
1075,3,0
598,1,1
513,1,1
175,0,0
1067,3,3
1187,5,0
141,0,0
1089,4,3
1292,5,0
900,3,0
1049,3,0
350,0,0
882,3,3
628,1,0
1063,3,0
354,1,1
381,1,0
1422,6,0
949,3,0
485,1,1
270,0,0
344,0,0
261,0,0
351,0,0
538,1,0
551,1,1
1035,3,3
1197,5,0
620,1,1
624,1,1
691,2,1
254,0,0
1047,3,3
923,3,3
767,2,1
594,1,1
86,0,0
1360,6,3
265,0,0
1418,6,0
1366,6,0
1080,3,3
461,1,1
808,2,2
221,0,0
113,0,0
526,1,1
582,1,0
174,0,0
464,1,1
1375,6,0
1124,4,0
925,3,0
1052,3,3
471,1,1
493,1,1
1188,5,0
31,0,0
210,0,0
906,3,3
365,1,1
953,3,0
1415,6,3
303,0,0
188,0,0
1427,6,0
1315,6,0
1043,3,3
309,0,0
83,0,0
48,0,0
155,0,0
1336,6,0
1091,4,1
910,3,3
993,3,3
736,2,2
1174,5,0
494,1,1
179,0,0
324,0,0
1190,5,0
339,0,0
429,1,1
744,2,0
1125,4,0
1144,4,0
363,1,3
481,1,0
668,2,0
630,1,1
578,1,0
243,0,0
1417,6,0
783,2,1
926,3,3
813,2,2
1425,6,3
1359,6,3
1116,4,0
439,1,1
806,2,0
54,0,0
1270,5,0
590,1,1
312,0,0
1387,6,1
109,0,0
1101,4,3
567,1,1
1084,4,0
1142,4,0
621,1,1
296,0,0
824,2,2
862,3,3
1168,5,0
286,0,0
1374,6,0
777,2,1
126,0,0
916,3,1
292,0,0
664,2,0
535,1,1
355,1,1
